,name,token_id,asset_contract,payment_token,total_price,usd_exchange_rate,seller_adress,buyer_adress,time_stamp
0,CryptoPunk #8577,177466,CryptoPunks,ETH,47500000000000000000,3462.909999999999854000,0x4c969243fc60179b4aca73a361755aaa227f2241,0x4154245739a63cd6caa8db8c1ae24209dd411dc6,2021-05-06T23:14:32
1,CryptoPunk #260,525070,CryptoPunks,ETH,60000000000000000000,3462.909999999999854000,0xc352b534e8b987e036a93539fd6897f53488e56a,0x4c969243fc60179b4aca73a361755aaa227f2241,2021-05-06T22:48:55
2,CryptoPunk #1676,526099,CryptoPunks,ETH,19500000000000000000,3462.909999999999854000,0x0ec5b42d53c60c24a99ef707eeafb50c3de816b2,0xc5f59709974262c4afacc5386287820bdbc7eb3a,2021-05-06T21:50:52
3,CryptoPunk #7206,529451,CryptoPunks,ETH,33000000000000000000,3462.909999999999854000,0x1672dbd790d9fa182dcd12d8521c6e68037ead8e,0xb9d94ac39e1a9d83e25833d27d394a0302bdccb1,2021-05-06T21:18:59
4,CryptoPunk #4948,176621,CryptoPunks,ETH,20000000000000000000,3462.909999999999854000,0x1c2581e734a8b35e4c5f3077b5c2271157de5b94,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,2021-05-06T19:00:40
5,CryptoPunk #9042,178524,CryptoPunks,ETH,20980000000000000000,3462.909999999999854000,0xcc81b4631c4b321421267c1d4b43e7b2d7c52a23,0x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,2021-05-06T18:23:57
6,CryptoPunk #4298,527601,CryptoPunks,ETH,38000000000000000000,3462.909999999999854000,0x6f4a2d3a4f47f9c647d86c929755593911ee91ec,0xb70c1a3242e363b4772b83acdc10df94e6c3fb02,2021-05-06T17:58:18
7,CryptoPunk #4584,527780,CryptoPunks,ETH,22970000000000000000,3462.909999999999854000,0xa6e2e910515e6cf485462eeb6e454df33c60cb0e,0x590fa84f7abdadc0fd6c2cf6d0e18c11b6f8ec68,2021-05-06T16:55:47
8,CryptoPunk #4711,178485,CryptoPunks,ETH,20700000000000000000,3462.909999999999854000,0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596,0xf8703aa13247a25fe7f3e5d29f05d924a09473f4,2021-05-06T16:41:05
9,CryptoPunk #6550,179239,CryptoPunks,ETH,23490000000000000000,3462.909999999999854000,0x7c2b65b98a86d9d2e10216f92674f28cb9fe0f86,0x7e152b635dffdbf558f29eac0972c4e4ef909f76,2021-05-06T16:38:25
10,CryptoPunk #7349,529535,CryptoPunks,ETH,25000000000000000000,3462.909999999999854000,0x3731a53e630a502be37532c0b87b0dc4c1a0463b,0x7fc4ad90afac24a39c9decab37f8fd52da363684,2021-05-06T16:05:54
11,CryptoPunk #4219,178595,CryptoPunks,ETH,19100000000000000000,3462.909999999999854000,0x56fc4b4b512b5fc42b41e0432c500d2b9eddc009,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,2021-05-06T15:49:58
12,CryptoPunk #7332,177261,CryptoPunks,ETH,25000000000000000000,3462.909999999999854000,0x3be89b64e1437bb18da2d26bcbe9bd3daaadfc26,0x7dde66a8b9d1cc91526255e25ea400fe9a1d8f4f,2021-05-06T14:18:30
13,CryptoPunk #6833,529204,CryptoPunks,ETH,20500000000000000000,3462.909999999999854000,0x38740516f691a66b4c1cd9156e9434c7915e73b3,0x64756a0976182ab0164db7b3835712f69a0cbbdc,2021-05-06T13:19:26
14,CryptoPunk #4474,527713,CryptoPunks,ETH,22000000000000000000,3462.909999999999854000,0x02fdf537289342c5b23ff2c0c68d7bde1be960a2,0xf5c1d55e94726962b4b517c949120c42d646e455,2021-05-06T13:16:47
15,CryptoPunk #4198,527536,CryptoPunks,ETH,21000000000000000000,3462.909999999999854000,0xeb4bd5231274aa4c2b97a4fa06bad9ecfcdad5e0,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,2021-05-06T12:25:17
16,CryptoPunk #5063,528092,CryptoPunks,ETH,18880000000000000000,3462.909999999999854000,0xbff231712560ae7a8773a3969f247ba85359664d,0xa06bd718818fdb24edf4a32e509fc911b5784881,2021-05-06T09:31:36
17,CryptoPunk #4441,479507,CryptoPunks,ETH,144410000000000000000,3462.909999999999854000,0x46fa5d01beb39e1fb594538344e435e282de3611,0x743b877a0f8088e969747fd1a351531087d79af7,2021-05-06T07:56:25
18,CryptoPunk #6748,179057,CryptoPunks,ETH,23500000000000000000,3462.909999999999854000,0x0873fc66dd231a9740f5f64ecb11e5e2a3d4a08e,0x899241b0c41051313ce36271a7e13d54c94877a1,2021-05-06T05:35:16
19,CryptoPunk #4458,527704,CryptoPunks,ETH,27500000000000000000,3462.909999999999854000,0xac33a5837bb9ad556d1ed646642e371775fb357a,0x4649941b72d28fc534cec775a6f35ea1fa4cdc63,2021-05-06T03:46:39
20,CryptoPunk #5063,528092,CryptoPunks,ETH,18000000000000000000,3462.909999999999854000,0x4649941b72d28fc534cec775a6f35ea1fa4cdc63,0xa06bd718818fdb24edf4a32e509fc911b5784881,2021-05-06T03:43:29
21,CryptoPunk #1737,179045,CryptoPunks,ETH,37500000000000000000,3462.909999999999854000,0xbff231712560ae7a8773a3969f247ba85359664d,0x899241b0c41051313ce36271a7e13d54c94877a1,2021-05-06T02:24:55
22,CryptoPunk #4466,527709,CryptoPunks,ETH,25875000000000000000,3462.909999999999854000,0xacaa0ab7fdbc52a971c66d00ade4372e57108bc3,0xa12474701470dc7b3aa4c47862d1a3a592e39369,2021-05-06T01:30:57
23,CryptoPunk #5674,179944,CryptoPunks,ETH,19200000000000000000,3462.909999999999854000,0x02fdf537289342c5b23ff2c0c68d7bde1be960a2,0x034b46aa9a5eed69c0c7b19773b60f83c54320dc,2021-05-06T00:55:55
24,CryptoPunk #8828,530430,CryptoPunks,ETH,55000000000000000000,3462.909999999999854000,0xb50ac7d2f2928d7e61c6eaa33f905aeecef97ca6,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,2021-05-05T21:37:20
25,CryptoPunk #7148,529415,CryptoPunks,ETH,21000000000000000000,3462.909999999999854000,0x379133e8fa411155fad8594bfd4ec8f513be01bb,0x74be0af0bf7254328ddffc09425ff71d64a1a836,2021-05-05T20:38:56
26,CryptoPunk #5848,528572,CryptoPunks,ETH,24000000000000000000,3462.909999999999854000,0xa90ee75e65b9d6b5fb7d8ae48a5e2bbb97febce9,0x087173c12ec250a105aaf7cdc57d36958ee8c27d,2021-05-05T20:35:25
27,CryptoPunk #4950,528019,CryptoPunks,ETH,19000000000000000000,3462.909999999999854000,0x62bdc64a14405e797f86796ea3c2476209ee0bf9,0x27c79a01878962ce0b6126af6e184c06d36c8f37,2021-05-05T18:38:30
28,CryptoPunk #8213,530050,CryptoPunks,ETH,19000000000000000000,3462.909999999999854000,0xee402489d83e2b22d496910f8c810d35a3ad7b25,0x46e449a3f88d0e35b4520bc36e8dfda195c896b0,2021-05-05T17:16:23
29,CryptoPunk #7830,529823,CryptoPunks,ETH,25250000000000000000,3462.909999999999854000,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,0x940fec5c4f11fec325b7ee07be152be19b62e276,2021-05-05T15:29:24
30,CryptoPunk #3310,176602,CryptoPunks,ETH,31000000000000000000,3462.909999999999854000,0x27c79a01878962ce0b6126af6e184c06d36c8f37,0x940fec5c4f11fec325b7ee07be152be19b62e276,2021-05-05T15:07:02
31,CryptoPunk #5480,528345,CryptoPunks,ETH,26990000000000000000,3462.909999999999854000,0x0a690b298f84d12414f5c8db7de1ece5a4605877,0x940fec5c4f11fec325b7ee07be152be19b62e276,2021-05-05T15:00:04
32,CryptoPunk #3508,527123,CryptoPunks,ETH,32000000000000000000,3462.909999999999854000,0xa38920dbe9cbd87f3541ba74598901d958fe3b76,0x940fec5c4f11fec325b7ee07be152be19b62e276,2021-05-05T14:57:24
33,CryptoPunk #2599,526621,CryptoPunks,ETH,20750000000000000000,3462.909999999999854000,0xb02690b16fd8696ef13a63e3272404b3ea12d00e,0xdddc07a700e4d2d28d10ac2a474727b9343b8968,2021-05-05T14:44:18
34,CryptoPunk #1205,525810,CryptoPunks,ETH,28000000000000000000,3462.909999999999854000,0x67edd0b8f66ce4edeee9ed84a74fbc70ceacfe18,0x940fec5c4f11fec325b7ee07be152be19b62e276,2021-05-05T14:44:18
35,CryptoPunk #3129,526902,CryptoPunks,ETH,32500000000000000000,3462.909999999999854000,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,0x5ea12341d073ec5a1226b85f0478413a19081535,2021-05-05T11:12:56
36,CryptoPunk #3129,526902,CryptoPunks,ETH,30000000000000000000,3462.909999999999854000,0xfba169cc807ed66cef816144fcbd2e36b6142422,0x5ea12341d073ec5a1226b85f0478413a19081535,2021-05-05T11:05:12
37,CryptoPunk #3508,527123,CryptoPunks,ETH,24480000000000000000,3462.909999999999854000,0x4e2a48affa555c742540a11aa199c44bb9c7f0d2,0x940fec5c4f11fec325b7ee07be152be19b62e276,2021-05-05T10:00:16
38,CryptoPunk #3197,177227,CryptoPunks,ETH,80000000000000000000,3462.909999999999854000,0xad41a7558a54bdcbafc4f9ca9909a09e7ba4e127,0x78b58e4197c04d320a33c582ecc3e7e885f26a58,2021-05-05T09:35:33
39,CryptoPunk #1271,179189,CryptoPunks,ETH,87000000000000000000,3462.909999999999854000,0x28c42de479e57cc0c90b8a3eceb406dc173ad7cc,0x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,2021-05-05T07:24:07
40,CryptoPunk #5486,528350,CryptoPunks,ETH,100000000000000000000,3462.909999999999854000,0xf2907acb30273f87d8a2f3154f2625ea7bf8f81f,0xb4bb4156e5e6ca5d81041f616c27dffb253b7845,2021-05-05T06:54:49
41,CryptoPunk #5609,528424,CryptoPunks,ETH,23970000000000000000,3462.909999999999854000,0xa6e2e910515e6cf485462eeb6e454df33c60cb0e,0xedcb09c4e7f5c903c08cfbb264c4d37bdbc2b56d,2021-05-05T02:24:09
42,CryptoPunk #4619,178059,CryptoPunks,ETH,125000000000000000000,3462.909999999999854000,0xcffc336e6d019c1af58257a0b10bf2146a3f42a4,0x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,2021-05-05T02:17:31
43,CryptoPunk #7251,529472,CryptoPunks,ETH,19500000000000000000,3462.909999999999854000,0x8f6b1e467fbe74d7dd43d59de0558f693c736798,0xe53ef2dae90d98c7b89fca164315dc81ded0182d,2021-05-05T01:48:14
44,CryptoPunk #9951,531078,CryptoPunks,ETH,62000000000000000000,3462.909999999999854000,0xcffc336e6d019c1af58257a0b10bf2146a3f42a4,0xb4bb4156e5e6ca5d81041f616c27dffb253b7845,2021-05-05T01:13:41
45,CryptoPunk #9763,530975,CryptoPunks,ETH,30000000000000000000,3462.909999999999854000,0x6efbb6ad655d8da3cbadb595a0bb3d28ccf9ad7c,0xb70c1a3242e363b4772b83acdc10df94e6c3fb02,2021-05-05T01:09:20
46,CryptoPunk #5416,528301,CryptoPunks,ETH,20000000000000000000,3462.909999999999854000,0x609630f177090662bf270b72378921063811559e,0x94de7e2c73529ebf3206aa3459e699fbcdfcd49b,2021-05-05T00:37:26
47,CryptoPunk #8634,530311,CryptoPunks,ETH,29000000000000000000,3462.909999999999854000,0x983ace1279d38d295577d38fb7150bae51baa5ff,0xc54db577897b82933634ed1cee5d61d9d5a701d5,2021-05-05T00:23:12
48,CryptoPunk #8740,530382,CryptoPunks,ETH,19000000000000000000,3462.909999999999854000,0x8f6b1e467fbe74d7dd43d59de0558f693c736798,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,2021-05-04T23:10:58
49,CryptoPunk #1882,526220,CryptoPunks,ETH,30000000000000000000,3462.909999999999854000,0xe03559ea7be32a6b7152ba745fadb7e07a772bff,0x903f5991587e5b9773a1ac5da8f3b8d42bead0c0,2021-05-04T22:56:14
50,CryptoPunk #7018,177077,CryptoPunks,ETH,59000000000000000000,3462.909999999999854000,0xc24f574d6853f6f6a31c19d468a8c1b3f31c0e54,0x18ee9cebca35d323068e5edc5b41ffca11d605b9,2021-05-04T22:56:02
51,CryptoPunk #2626,526634,CryptoPunks,ETH,50000000000000000000,3462.909999999999854000,0xc46db2d89327d4c41eb81c43ed5e3dff111f9a8f,0xc24f574d6853f6f6a31c19d468a8c1b3f31c0e54,2021-05-04T22:50:03
52,CryptoPunk #8682,530345,CryptoPunks,ETH,27000000000000000000,3462.909999999999854000,0x71ecade4a90483d27fa7358ac13a58f0b6ef9b14,0xddcd2507ed28dd8e91cccea5a36308d43d5cea84,2021-05-04T22:19:27
53,CryptoPunk #2108,526365,CryptoPunks,ETH,20000000000000000000,3462.909999999999854000,0x436a4adcc41eb18552a4138236041e8d4c575d6b,0x254459b53c747e96d8a8a0f4d52ac054559f817d,2021-05-04T20:44:35
54,CryptoPunk #118,178542,CryptoPunks,ETH,20450000000000000000,3462.909999999999854000,0x436a4adcc41eb18552a4138236041e8d4c575d6b,0x9179de43eafb051053f4ab99b9d9292d20eea723,2021-05-04T20:41:28
55,CryptoPunk #7748,177944,CryptoPunks,ETH,92000000000000000000,3462.909999999999854000,0xd79b937791724e47f193f67162b92cdfbf7abdfd,0x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,2021-05-04T19:24:07
56,CryptoPunk #9119,530589,CryptoPunks,ETH,32000000000000000000,3462.909999999999854000,0xf5c1d55e94726962b4b517c949120c42d646e455,0x254459b53c747e96d8a8a0f4d52ac054559f817d,2021-05-04T18:37:52
57,CryptoPunk #1912,179313,CryptoPunks,ETH,21700000000000000000,3462.909999999999854000,0x20d5a37486b4fca7739fe20f54a6c4fdb95d0fad,0x054f68d55147372a394999387f14a39158064c89,2021-05-04T18:13:46
58,CryptoPunk #6124,528753,CryptoPunks,ETH,19600000000000000000,3462.909999999999854000,0xcd2e9610a06220071d15deac4aa0d6c78c726515,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,2021-05-04T18:12:32
59,CryptoPunk #9686,530923,CryptoPunks,ETH,25000000000000000000,3462.909999999999854000,0x2044f823a42024aa09c1534a14b32fbfb97bc342,0xd94be559c07539ad8f303e3d20db18d007d72591,2021-05-04T17:38:26
60,CryptoPunk #5612,528425,CryptoPunks,ETH,21750000000000000000,3462.909999999999854000,0xcd2e9610a06220071d15deac4aa0d6c78c726515,0xce7a9f981a2a79c79340297edff7bb6b73f71913,2021-05-04T17:33:54
61,CryptoPunk #4992,528047,CryptoPunks,ETH,61300000000000000000,3462.909999999999854000,0xd79b937791724e47f193f67162b92cdfbf7abdfd,0x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,2021-05-04T17:23:02
62,CryptoPunk #1705,526117,CryptoPunks,ETH,21000000000000000000,3462.909999999999854000,0x6f8af4f14826405c5a361860de9f26acdaeab49b,0xa7499aa6464c078eeb940da2fc95c6acd010c3cc,2021-05-04T17:15:28
63,CryptoPunk #6379,528920,CryptoPunks,ETH,20990000000000000000,3462.909999999999854000,0x899241b0c41051313ce36271a7e13d54c94877a1,0xe85740d4b34f727e8cbc9d676d253a4fd736a239,2021-05-04T16:16:21
64,CryptoPunk #2004,526313,CryptoPunks,ETH,21000000000000000000,3462.909999999999854000,0x4322aa46ffed67809862da613725728e2fb8eae3,0x5375f65a744f5a9e9b2843e99574f8425069de88,2021-05-04T15:43:10
65,CryptoPunk #5820,176664,CryptoPunks,ETH,25950000000000000000,3462.909999999999854000,0x848fa9ec76391b94a83442170085f8ca863b1624,0x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,2021-05-04T14:41:32
66,CryptoPunk #3832,527304,CryptoPunks,ETH,25750000000000000000,3462.909999999999854000,0xe5c4c41194901047523108bb47eb109781a1a86a,0xbfbe29231556b51d0f6745e70285224bc1cf1f72,2021-05-04T13:57:35
67,CryptoPunk #6843,529212,CryptoPunks,ETH,21500000000000000000,3462.909999999999854000,0x4322aa46ffed67809862da613725728e2fb8eae3,0x848fa9ec76391b94a83442170085f8ca863b1624,2021-05-04T13:52:55
68,CryptoPunk #1995,526309,CryptoPunks,ETH,27000000000000000000,3462.909999999999854000,0xef768ef781637a7995a2b57ff77825e8abcf682d,0x1ee7fb4d0394fd3cd028aa4cd03fddfd9bf1d0ef,2021-05-04T13:48:27
69,CryptoPunk #3553,527153,CryptoPunks,ETH,20990000000000000000,3462.909999999999854000,0x0a690b298f84d12414f5c8db7de1ece5a4605877,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,2021-05-04T13:32:31
